question,0.0,2.0
Governor,0.0,2.0
did,0.0,2.0
see,0.0,2.0
indictment,0.0,2.0
sending,0.0,2.0
tweet,0.0,2.0
Last,1.0895833333333333,3.0
night,1.0895833333333333,3.0
Vegas,1.0895833333333333,3.0
Marcus,1.0895833333333333,3.0
Mumford,1.0895833333333333,3.0
showed,1.0895833333333333,3.0
surprised,1.0895833333333333,3.0
crowd,2.1791666666666667,6.0
‘,1.0895833333333333,3.0
Cowboy,1.0895833333333333,3.0
Me,1.0895833333333333,3.0
’,1.0895833333333333,3.0
🤩🤯😝,1.0895833333333333,3.0
Thank,1.0895833333333333,3.0
@,1.0895833333333333,3.0
marcusmumford,1.0895833333333333,3.0
See,1.0895833333333333,3.0
next,1.0895833333333333,3.0
weekend,1.0895833333333333,3.0
Texas,1.0895833333333333,3.0
https,2.4145833333333333,6.0
//t.co/UzDL6WCiwq,1.0895833333333333,3.0
body,1.325,3.0
absorb,1.325,3.0
kinetics,1.325,3.0
piercing,1.325,3.0
leadAs,1.325,3.0
other,1.325,3.0
silencing,1.325,3.0
attempts,1.325,3.0
stage,1.325,3.0
approaches,1.325,3.0
bullet,1.325,3.0
be,1.325,3.0
chosen,1.325,3.0
utensil,1.325,3.0
pacificationI,1.325,3.0
pray,1.325,3.0
prepareI,1.325,3.0
force,1.325,3.0
breathe,1.325,3.0
//t.co/DQJIeHJytv,1.325,3.0
Hello,0.0,1
